,SKU,Type,Description,Cost,Quantity (g),Vegan/Non-Vegan,Gluten-Free/Non-Gluten-Free
522,Arm & Hammer Laundry Detergent,Household Items - Laundry Supplies,"Arm & Hammer Laundry Detergent is a powerful and effective laundry solution that tackles tough stains and odors with ease. Formulated with Arm & Hammer's signature baking soda, this detergent leaves clothes smelling fresh and clean. It is suitable for all washing machines and is gentle on skin, making it a trusted choice for any household's laundry needs.",$4.30,870,Vegan,Gluten-Free
523,Gain Laundry Detergent,Household Items - Laundry Supplies,"Gain Laundry Detergent is a powerful and effective laundry detergent that leaves your clothes with a fresh and long-lasting scent. The concentrated formula is tough on stains and dirt, yet gentle on fabrics, making it suitable for all your laundry needs. With a variety of fragrances to choose from, Gain Laundry Detergent is sure to leave your clothes smelling clean and vibrant.",$2.70,623,Vegan,Non-Gluten-Free
524,Bounce Dryer Sheets,Household Items - Laundry Supplies,"Bounce Dryer Sheets are a convenient and effective way to combat static and wrinkles in your laundry. These sheets add a fresh scent to clothes, while also reducing static cling and softening fabrics. Simply toss a sheet into your dryer with your clothes and enjoy softer, fresher-smelling laundry with less static.",$2.72,675,Vegan,Non-Gluten-Free
525,Clorox Bleach,Household Items - Laundry Supplies,"Clorox Bleach is a powerful and effective laundry supply that helps remove tough stains and keeps white clothes bright and clean. This trusted household item kills 99.9% of germs and bacteria, leaving your laundry fresh and sanitized. Perfect for whitening clothes and disinfecting surfaces, Clorox Bleach is a must-have for any laundry room.",$2.21,421,Vegan,Non-Gluten-Free
526,All Free & Clear Laundry Detergent,Household Items - Laundry Supplies,"All Free & Clear Laundry Detergent is a gentle yet powerful laundry detergent that is perfect for those with sensitive skin. It is free of perfumes and dyes, making it a great choice for anyone with allergies or skin sensitivities. This detergent effectively removes tough stains and odors, leaving your clothes clean and fresh without any irritating residues. It is a trusted option for those looking for a hypoallergenic and fragrance-free laundry solution.",$4.08,823,Vegan,Non-Gluten-Free
527,Woolite Gentle Cycle Laundry Detergent,Household Items - Laundry Supplies,"Woolite Gentle Cycle Laundry Detergent is specially formulated to cater to the delicate fabrics and items that require a gentle touch. This liquid detergent is designed for use in washing machines with a gentle cycle, ensuring that your clothes and other items are cleaned effectively without any damage. It helps to preserve the quality and softness of your garments, making it perfect for use on wool, silk, and other delicate fabrics. Keep your laundry looking and feeling great with Woolite Gentle Cycle Laundry Detergent.",$3.30,958,Non-Vegan,Gluten-Free
528,Seventh Generation Laundry Detergent,Household Items - Laundry Supplies,"Seventh Generation Laundry Detergent is a plant-based, eco-friendly laundry detergent that effectively removes stains and odors from your clothes while being gentle on the environment. Made with natural and biodegradable ingredients, this detergent is free from synthetic fragrances and dyes, making it safe for sensitive skin. With a powerful formula that tackles tough stains, this detergent leaves your clothes fresh and clean without harsh chemicals.",$1.93,381,Vegan,Gluten-Free
529,OxiClean Stain Remover,Household Items - Laundry Supplies,"OxiClean Stain Remover is a powerful laundry supply that effectively removes tough stains and odors from clothing and other fabric items. Its oxygen-based formula penetrates deep into fibers to lift and eliminate stains, leaving clothes looking and smelling fresh. Whether dealing with food, grease, or other stubborn stains, OxiClean Stain Remover is a trusted solution for keeping your laundry clean and pristine.",$4.01,271,Vegan,Gluten-Free
530,Huggies Little Snugglers Diapers,Baby Products - Diapers,"The Huggies Little Snugglers Diapers are specially designed to keep your baby comfortable and dry. With a gentle, hypoallergenic inner liner and a pocketed back waistband to prevent leaks, these diapers provide a secure fit for your little one. The soft, breathable outer cover allows for maximum air circulation, while the wetness indicator lets you know when it's time for a change. Perfect for keeping your baby feeling happy and content throughout the day.",$3.97,254,Non-Vegan,Gluten-Free
531,Pampers Swaddlers Diapers,Baby Products - Diapers,"Pampers Swaddlers Diapers are designed to provide the utmost comfort and protection for your baby. With a soft and absorbent core, these diapers keep your little one dry and cozy all day and night. The unique design gives a snug fit around the legs and waist, preventing leaks and ensuring your baby is happy and comfortable. The wetness indicator lets you know when it's time for a change, and the soft, quilted lining is gentle on your baby's delicate skin. Trust Pampers Swaddlers to keep your baby dry and happy.",$2.48,375,Vegan,Gluten-Free
532,Luvs Ultra Leakguards Diapers,Baby Products - Diapers,"Luvs Ultra Leakguards Diapers are designed to provide maximum protection for your baby. With a secure fit and ultra-absorbent core, these diapers offer long-lasting leakage protection, keeping your baby dry and comfortable. The stretchy sides and easy-to-use tabs make for a snug and secure fit, while the soft, breathable materials keep your baby’s delicate skin free from irritation. Perfect for day or night use, Luvs Ultra Leakguards Diapers offer reliable performance at an affordable price, giving you peace of mind and your baby the comfort they deserve.",$2.08,446,Non-Vegan,Non-Gluten-Free
533,Seventh Generation Free & Clear Diapers,Baby Products - Diapers,"Seventh Generation Free & Clear Diapers are a reliable and comfortable option for your baby. Made with no added fragrances, lotions, or chlorine bleaching, these diapers are gentle on delicate skin. The absorbent core and soft, stretchy sides provide a secure and leak-free fit, while the responsibly sourced materials make them an eco-friendly choice for conscientious parents. Keep your baby dry and comfortable with Seventh Generation Free & Clear Diapers.",$1.09,330,Non-Vegan,Non-Gluten-Free
534,Babyganics Ultra Absorbent Diapers,Baby Products - Diapers,"Babyganics Ultra Absorbent Diapers are designed to provide maximum protection and comfort for your baby. These premium diapers feature a secure fit, ultra-absorbent core, and soft, hypoallergenic materials to keep your little one dry and happy all day and night. With a secure fit and leak protection, these diapers are perfect for busy parents and active babies. Plus, these eco-friendly diapers are free from harmful chemicals and fragrances, making them a safe and reliable choice for your baby's sensitive skin.",$2.16,800,Vegan,Non-Gluten-Free
535,Honest Diapers,Baby Products - Diapers,"Honest Diapers are made with your baby's comfort and health in mind. These eco-friendly diapers are free from harmful chemicals and made with sustainable materials, ensuring that your baby stays dry and comfortable while minimizing their environmental impact. With a secure fit and adorable designs, Honest Diapers are a reliable choice for both you and your little one.",$1.95,152,Vegan,Gluten-Free
536,Simple Truth Diapers,Baby Products - Diapers,"Simple Truth Diapers are designed to provide maximum comfort and protection for your little one. These diapers are made with high-quality, ultra-absorbent materials to keep baby dry and happy. They are also hypoallergenic and free from harmful chemicals, making them gentle on sensitive skin. With a secure fit and leak-proof design, Simple Truth Diapers are the simple choice for keeping your baby clean, dry, and happy.",$4.85,635,Non-Vegan,Gluten-Free
537,Earth's Best TenderCare Diapers,Baby Products - Diapers,"Earth's Best TenderCare Diapers are designed with your baby's comfort and the environment in mind. These eco-friendly diapers are made with renewable, plant-based materials and are free from chlorine, latex, and fragrances. With a snug and secure fit, they offer leakage protection while keeping your baby's delicate skin dry and healthy. Choose Earth's Best TenderCare Diapers for a gentle, sustainable option for your little one.",$2.43,794,Non-Vegan,Non-Gluten-Free
538,Up&Up Diapers,Baby Products - Diapers,"Up&Up Diapers are designed for ultimate comfort and protection for your baby. With a secure fit and soft, absorbent materials, these diapers offer long-lasting leakage protection without sacrificing your little one's comfort. The flexible waistband and adjustable fasteners ensure a perfect fit, while the breathable outer cover keeps your baby's skin dry and healthy. Up&Up Diapers are the perfect choice for busy parents who want a reliable and affordable diaper option for their baby.",$1.62,839,Vegan,Non-Gluten-Free
539,Hello Bello Diapers,Baby Products - Diapers,"Hello Bello Diapers are designed to keep your little one comfortable and dry throughout the day. Made with plant-derived materials and gentle on sensitive skin, these diapers provide advanced leak protection and a snug, comfortable fit. With adorable designs and sustainable materials, you can feel good about using Hello Bello Diapers on your baby. Keep your baby happy and dry with Hello Bello Diapers.",$1.44,921,Vegan,Non-Gluten-Free
540,Gerber Graduates Puffs Cereal Snack,Baby Products - Foods,"Gerber Graduates Puffs Cereal Snack is a nutritious and delicious snack for babies and toddlers. Made with whole grains and real fruit, these puffs are designed to dissolve quickly, making them a perfect finger food for little ones learning to self-feed. They are a great source of vitamins and minerals, and come in a variety of flavors to keep snack time interesting for your little one. With no artificial flavors or sweeteners, Gerber Graduates Puffs Cereal Snack is a wholesome choice for growing babies.",$4.21,958,Non-Vegan,Gluten-Free
